FIPS,,Age-Adjusted Death Rate,,,
48343,,70.5,,,
5083,,70.4,,,
13301,,70.4,,,
24039,,70.4,,,
29117,,70.4,,,
40135,,70.4,,,
5093,,70.2,,,
5013,,70.2,,,
5017,,70.2,,,
5047,,70.1,,,
22053,,70.1,,,
28093,,70.1,,,
40091,,70.1,,,
48001,,70.1,,,
1079,,70,,,
18049,,70,,,
28109,,70,,,
29197,,70,,,
1133,,69.9,,,
5121,,69.9,,,
21041,,69.9,,,
40061,,69.9,,,
47115,,69.9,,,
48337,,69.9,,,
13213,,69.7,,,
18117,,69.7,,,
5055,,69.6,,,
5145,,69.6,,,
18175,,69.6,,,
21205,,69.6,,,
39119,,69.6,,,
17193,,69.5,,,
17199,,69.5,,,
17165,,69.5,,,
18055,,69.5,,,
47161,,69.5,,,
48391,,69.5,,,
17151,,69.4,,,
18073,,69.4,,,
29229,,69.4,,,
48291,,69.4,,,
48059,,69.4,,,
12093,,69.3,,,
21093,,69.3,,,
28137,,69.3,,,
17021,,69.2,,,
45025,,69.2,,,
51183,,69.2,,,
1027,,69.1,,,
5135,,69.1,,,
21155,,69.1,,,
37027,,69.1,,,
51097,,69,,,
1037,,68.9,,,
28057,,68.9,,,
29111,,68.9,,,
39125,,68.9,,,
48429,,68.9,,,
51730,,68.9,,,
13163,,68.8,,,
47027,,68.8,,,
17081,,68.7,,,
21173,,68.7,,,
47063,,68.7,,,
12059,,68.6,,,
22001,,68.6,,,
13155,,68.5,,,
17135,,68.5,,,
54091,,68.5,,,
12013,,68.4,,,
21087,,68.4,,,
29131,,68.4,,,
5011,,68.3,,,
47099,,68.3,,,
26001,,68.2,,,
39027,,68.2,,,
47107,,68.2,,,
13029,,68.1,,,
21149,,68.1,,,
51127,,68.1,,,
18103,,68,,,
42053,,68,,,
5071,,67.9,,,
12121,,67.9,,,
17127,,67.9,,,
21057,,67.9,,,
29169,,67.9,,,
32023,,67.9,,,
47077,,67.9,,,
1007,,67.8,,,
5001,,67.8,,,
18095,,67.8,,,
21003,,67.8,,,
29045,,67.8,,,
29113,,67.8,,,
37171,,67.8,,,
39087,,67.8,,,
39131,,67.8,,,
1055,,67.7,,,
16009,,67.7,,,
28083,,67.7,,,
39047,,67.7,,,
45087,,67.7,,,
47067,,67.7,,,
17121,,67.6,,,
