 FIPS,"Age-Adjusted Incidence Rate(Ê) - cases per 100,000"
38031,* 
38033,* 
38035,59.7
38037,* 
38039,* 
38041,* 
38043,* 
38045,* 
38047,* 
38049,63.6
38051,* 
38053,43.5
38055,53.4
38057,50.6
38059,68.7
38061,70.9
38063,71.9
38065,* 
38067,65.2
38069,41
38071,73.7
38073,67.9
38075,* 
38077,45.2
38079,76.5
38081,100
38083,* 
38085,* 
38087,* 
38089,42.7
38091,* 
38093,56.5
38095,* 
38097,62
38099,56.7
38101,64.6
38103,40.6
38105,53.9
39001,87.1
39003,70.4
39005,61.2
39007,79.2
39009,76.6
39011,68.1
39013,61.3
39015,106.2
39017,75
39019,79.7
39021,64
39023,76.8
39025,85.3
39027,86.6
39029,68.6
39031,74
39033,66.6
39035,68.7
39037,65.9
39039,67.3
39041,61
39043,65
39045,73.6
39047,87.4
39049,70.3
39051,48.4
39053,88.7
39055,51.4
39057,60.9
39059,82.2
39061,75.1
39063,57.9
39065,72.9
39067,72.7
39069,55.3
39071,75.8
39073,75.9
39075,40
39077,78.2
39079,82.3
39081,78.6
39083,69.8
39085,73
39087,83.4
39089,78.5
39091,70.7
39093,71
39095,61.9
39097,74.8
39099,69.4
39101,82.9
39103,62.1
39105,71.8
39107,52.9
39109,73.7
39111,60.3
39113,76.4
39115,80.5
39117,80.1
39119,80.6
39121,48.6
39123,66
39125,87.6
39127,78.5
39129,77.5
39131,91.3
39133,72.1
39135,72.2
39137,45.5
39139,71.5
39141,85.2
39143,69.2
39145,97.8
39147,72.1
39149,55.7
39151,68.1
39153,67.2
39155,80.8
39157,61
39159,68.9
39161,56.2
39163,114.2
39165,65.8
39167,75.8
39169,57
39171,66
39173,53.3
39175,74.4
40001,71.5
40003,61.2
40005,80.2
40007,* 
40009,53.8
40011,66.4
40013,87.9
40015,85.3
40017,70.2
40019,77.6
40021,79.3
40023,80.4
40025,* 
40027,66.3
40029,85.8
40031,72.8
40033,59.8
40035,85.9
40037,87.7
40039,71.5
40041,71.3
40043,48.3
40045,65.8
40047,62.4
40049,87.9
40051,67.6
40053,60.2
40055,89.8
40057,* 
40059,76.8
40061,75.8
40063,88.5
40065,58.6
40067,79
40069,54.9
40071,72.9
40073,70.4
40075,75.1
40077,59.9
40079,62.2
40081,66.3
40083,67.4
40085,57.5
40087,83
40089,94.2
40091,76.9
40093,59.3
40095,71.7
40097,84.2
40099,97.5
40101,97.9
40103,59.7
40105,59.7
40107,65.3
40109,69.5
40111,95.2
40113,55.9
40115,80.2
40117,77.7
40119,62
40121,76.3
40123,73.3
40125,85.4
40127,65.2
40129,* 
40131,62.8
40133,85.9
40135,71.1
40137,69.2
40139,51.3
40141,59.7
40143,67.1
40145,68.8
40147,78.6
40149,52.9
40151,55.5
40153,41
41001,65
41003,48.9
41005,55.2
41007,72.4
41009,63.2
41011,73.5
41013,54
41015,61.9
41017,53.1
41019,67
41021,* 
41023,41.9
41025,43.9
41027,45.6
41029,62.6
41031,50.9
41033,72.1
41035,60.3
41037,47
41039,53.9
41041,74.4
41043,71.3
41045,54
41047,66.1
41049,62.3
41051,62.2
41053,52.1
41055,* 
41057,63.6
41059,58
41061,44.7
41063,46.3
41065,74.1
41067,48
41069,* 
41071,65.2
42001,59.2
42003,72.5
42005,66.4
42007,76.5
42009,51
42011,64.1
42013,66.3
42015,70.7
42017,62.5
42019,61.4
42021,56.7
42023,60.6
42025,72.7
42027,53.1
42029,54
42031,59.2
42033,60.3
42035,67.7
42037,58
42039,67.5
42041,56.8
42043,66.7
42045,70.8
42047,65.8
42049,66.5
42051,77.5
42053,68.6
42055,58.5
42057,54.3
42059,84.2
42061,58.4
42063,52.9
42065,66.1
42067,54.7
42069,70.4
42071,53.3
42073,71.3
42075,65.3
42077,63.6
42079,68.7
42081,67.1
42083,68.1
42085,66.9
42087,70.4
42089,72.5
42091,56.8
42093,56.1
42095,64.7
42097,66.3
42099,71.8
42101,81.5
42103,64.5
42105,79.8
42107,68.1
42109,50.4
42111,48.5
42113,69.3
42115,53.6
42117,69.6
42119,57.6
42121,74.7
42123,59.9
42125,68.2
42127,64.4
42129,70.5
42131,77.1
42133,67.2
44001,54.5
44003,68.9
44005,60.1
44007,72.7
44009,64.8
45001,68.1
45003,58.5
45005,61.7
45007,69.6
45009,59
45011,59.5
45013,49
45015,84.8
45017,59.7
45019,65.5
45021,87.7
45023,77.4
45025,81.2
45027,70
45029,93.5
45031,72.4
45033,85.5
45035,70.6
45037,58.5
45039,57.9
45041,72.8
45043,59.2
45045,64.6
45047,63.2
45049,78.1
45051,74.7
45053,51.9
45055,73.6
45057,67.5
45059,80.2
45061,73
45063,68.5
45065,67.4
45067,79.3
45069,87.2
45071,58.5
45073,68.8
45075,63.3
45077,74
45079,70.1
45081,55.1
45083,73.1
45085,72
45087,94.2
45089,66.3
45091,66.8
46003,96
46005,48.6
46007,* 
46009,55.7
46011,53.5
46013,57.5
46015,83
46017,* 
46019,60.8
46021,* 
46023,48.9
46025,* 
46027,61.4
46029,49.4
46031,* 
46033,38.6
46035,64.2
46037,45
46039,48
46041,82.2
46043,81.9
46045,* 
46047,63.6
46049,* 
46051,55.1
46053,75.8
46055,* 
46057,47.8
46059,* 
46061,* 
46063,* 
46065,52.1
46067,41.9
46069,* 
46071,* 
46073,* 
46075,* 
46077,62.6
46079,46
46081,47.8
46083,48.9
46085,* 
46087,86
46089,* 
46091,53.7
46093,56.4
46095,* 
46097,88.3
46099,65.3
46101,44.2
46103,66.1
46105,* 
46107,89
46109,46.4
46111,* 
46113,59.9
46115,48.8
46117,* 
46119,* 
46121,* 
46123,42.6
46125,56.2
46127,80.2
46129,47
46135,61.4
46137,* 
47001,71.1
47003,69.4
47005,104.7
47007,85.2
47009,79
47011,81
47013,105.9
47015,59.7
47017,80
47019,78.3
47021,92.3
47023,76.7
47025,107.7
47027,76.1
47029,96.9
47031,84.4
47033,64.6
47035,79.8
47037,72
47039,87.4
47041,91.3
47043,87.9
47045,77.9
47047,58.7
47049,92.7
47051,70.6
47053,80.5
47055,82.1
47057,82.2
47059,96.4
47061,96.1
47063,77.9
47065,68.4
47067,83.1
47069,94.2
47071,85.9
47073,102.7
47075,80.4
47077,93.4
47079,88.4
47081,91.5
47083,96.8
47085,99.2
47087,102.8
47089,68.9
47091,88
47093,73.8
47095,96.8
47097,92.9
47099,78.2
47101,116.1
47103,64.3
47105,69.2
47107,81.4
47109,89.5
47111,100.4
47113,70.7
47115,102.9
47117,91.6
47119,73.5
47121,83.7
47123,98.6
47125,84.3
47127,63.5
47129,94.3
47131,72.6
47133,98.2
47135,93.8
47137,94.8
47139,116
47141,71.6
47143,99
47145,88.6
47147,83.2
47149,68.5
47151,109.2
47153,96.8
47155,83.5
47157,67.3
47159,92.7
47161,90.8
47163,75.7
47165,65.9
47167,94.6
47169,101.4
47171,89.3
47173,100.7
47175,55.8
47177,84.7
47179,71.6
47181,79.1
47183,72.4
47185,89.7
47187,46.6
47189,76.5
48001,78.1
48003,64.3
48005,76.4
48007,78.1
48009,61.5
48011,* 
48013,42.4
48015,48
48017,* 
48019,58.8
48021,69.2
48023,80.4
48025,50.9
48027,81.5
48029,45.1
48031,46.3
48033,* 
48035,58.4
48037,80.2
48039,63
48041,49
48043,36.4
48045,* 
48047,* 
48049,65.2
48051,73.1
48053,65.3
48055,65.1
48057,70
48059,80.4
48061,38.4
48063,74.8
48065,44.5
48067,68.9
48069,50.7
48071,68.3
48073,83.3
48075,72.5
48077,68.8
48079,* 
48081,52.5
48083,70.7
48085,49.4
48087,* 
48089,65.6
48091,58.1
48093,76.4
48095,* 
48097,62.1
48099,81.2
48101,* 
48103,* 
48105,* 
48107,57
48109,* 
48111,79.4
48113,56
48115,59.2
48117,55.1
48119,58.8
48121,53.3
48123,57.9
48125,* 
48127,32.2
48129,74
48131,45.6
48133,71
48135,69.9
48137,* 
48139,64.8
48141,32.9
48143,53.1
48145,61
48147,78.7
48149,54.2
48151,46.7
48153,61.1
48155,* 
48157,43.1
48159,78.4
48161,60.1
48163,39.2
48165,46.8
48167,63.2
48169,61.3
48171,48.8
48173,* 
48175,65.5
48177,47.3
48179,90.1
48181,78
48183,71.9
48185,48.2
48187,58.6
48189,60
48191,65.4
48193,59.4
48195,61.3
48197,76.1
48199,66.4
48201,56
48203,79.5
48205,* 
48207,40.6
48209,47.2
48211,86.4
48213,89.9
48215,32.7
48217,69.9
48219,51.8
48221,64.2
48223,66
48225,63.1
48227,73.3
48229,* 
48231,80.2
48233,58.4
48235,* 
48237,68
48239,57.5
48241,60.3
48243,* 
48245,65.7
48247,* 
48249,40.7
48251,71.5
48253,60.1
48255,72
48257,79.4
48259,44
48261,* 
48263,* 
48265,53.9
48267,58.6
48269,* 
48271,* 
48273,53.1
48275,67.1
48277,78.4
48279,41
48281,74.1
48283,* 
48285,55.3
48287,44
48289,67.1
48291,84.3
48293,81.8
48295,* 
48297,49.4
48299,53.4
48301,* 
48303,53.2
48305,47.9
48307,56
48309,66.1
48311,* 
48313,53.7
48315,88.8
48317,* 
48319,* 
48321,67.8
48323,36.7
48325,45.6
48327,* 
48329,54
48331,65.2
48333,45
48335,81.9
48337,92.2
48339,61.3
48341,65.5
48343,81.2
48345,* 
48347,74.5
48349,62.3
48351,65.9
48353,58.9
48355,51.7
48357,60.4
48359,* 
48361,82.7
48363,80.8
48365,70.7
48367,70.9
48369,42
48371,40.7
48373,99.4
48375,73.3
48377,* 
48379,87.5
48381,52.8
48383,* 
48385,49.4
48387,67
48389,35.8
48391,79.8
48393,* 
48395,58.2
48397,49.2
48399,61.1
48401,69.8
48403,71.3
48405,73.8
48407,93
48409,73.5
48411,60.9
48413,* 
48415,76.8
48417,* 
48419,73.4
48421,* 
48423,67.3
48425,62
48427,38.5
48429,83.7
48431,* 
48433,* 
48435,* 
48437,49.7
48439,60.2
48441,60.3
48443,* 
48445,70.7
48447,* 
48449,49.2
48451,54.1
48453,44.8
48455,90.7
48457,72.8
48459,75.5
48461,* 
48463,38.1
48465,35.4
48467,68.7
48469,57.6
48471,68.5
48473,53.7
48475,69.8
48477,44.7
48479,30.3
48481,49.7
48483,54
48485,74.9
48487,62.3
48489,40.4
48491,50.9
48493,43.7
48495,67.8
48497,63.1
48499,75.4
48501,66.2
48503,74.2
48505,38.2
48507,* 
49001,* 
49003,20.4
49005,15.8
49007,51.1
49009,* 
49011,25
49013,50.2
49015,* 
49017,* 
49019,61.9
49021,29.5
49023,* 
49025,32.6
49027,25.8
49029,* 
49031,* 
49033,* 
49035,32.1
49037,* 
49039,29.3
49041,30.3
49043,18.2
49045,40.2
49047,27.6
49049,18.5
49051,34.5
49053,29.7
49055,* 
49057,33.6
50001,65.6
50003,64.3
50005,74.8
50007,65.5
50009,77.6
50011,79.6
50013,89.1
50015,66.1
50017,67.2
50019,59.4
50021,72.6
50023,61
50025,58.9
50027,67.4
51001,91.1
51003,41
51005,54.8
51007,75.3
51009,64.7
51011,75.5
51013,37.2
51015,51.7
51017,66
51021,83.5
51023,56.4
51025,74.6
51027,53.9
51029,76.7
51031,54.2
51033,83.6
51035,56.4
51036,51.9
51037,59.5
51041,69.4
51043,63.4
51045,58.9
51047,70.6
51049,64.8
51051,76.1
51053,70.9
51057,81.5
51059,40
51061,48.7
51063,47.5
51065,66.4
51067,53.1
51069,72.3
51071,66.7
51073,88.7
51075,66.3
51077,63.6
51079,62.5
51081,81.5
51083,58.7
51085,80.7
51087,57.2
51089,69.9
51091,* 
51093,63
51095,42.8
51097,80.1
51099,92.7
51101,60.8
51103,58.5
51105,82.4
51107,40.8
51109,80
51111,67.5
51113,81.9
51115,64.6
51117,75.2
51119,79.4
51121,54
51125,92
51127,76.4
51131,83.6
51133,71.6
51135,67.6
51137,77.8
51139,66.1
51141,51.2
51143,59.3
51145,65.8
51147,53.3
51149,65.2
51153,48.4
51155,62.8
51157,65.2
51159,72.9
51161,55.2
51163,32
51165,49.4
51167,63.5
51169,72.1
51171,67.4
51173,92
51175,63.8
51177,68.2
51179,77.4
51181,60.9
51183,90.7
51185,67.6
51187,72.1
51191,75.6
51193,74.7
51195,84.3
51197,74.7
51199,48.4
51510,28.8
51520,54.6
51530,107.3
51540,114.7
51550,71.6
51570,69.5
51580,167
51590,92.4
51595,56.2
51600,26.5
51610,44.8
51620,82.8
51630,95.1
51640,80.2
51650,76.8
51660,91.2
51670,89.5
51678,110.1
51680,75.9
51683,55.1
51685,* 
51690,70.8
51700,75.2
51710,75.6
51720,100.5
51730,113.1
51735,50.2
51740,78.3
51750,87.3
51760,76.1
51770,95.5
51775,71.5
51790,96.8
51800,68.3
51810,67.5
51820,88.3
51830,127.9
51840,57.1
51917,58.4
53001,37
53003,66.8
53005,59.9
53007,49.8
53009,69.6
53011,62.1
53013,62.2
53015,66.3
53017,42
53019,46
53021,52.7
53023,* 
53025,57.1
53027,81.9
53029,48.2
53031,55.7
53033,51.8
53035,60.5
53037,47.4
53039,47.6
53041,61.9
53043,60.9
53045,75.9
53047,62.8
53049,62
53051,74.9
53053,76.1
53055,34.8
53057,63.1
53059,47.7
53061,64.1
53063,59.8
53065,58.7
53067,63.8
53069,55.4
53071,53.4
53073,59.8
53075,41.7
53077,57.6
54001,58.8
54003,83.7
54005,111.8
54007,72.4
54009,64.7
54011,89.9
54013,90.9
54015,99.8
54017,40
54019,87.6
54021,46.8
54023,52.7
54025,67.8
54027,83.8
54029,78.9
54031,68.8
54033,87.3
54035,74.3
54037,71
54039,87.3
54041,100.1
54043,111.5
54045,115.7
54047,103.9
54049,77.5
54051,72.8
54053,87.6
54055,84
54057,82.3
54059,106.5
54061,65.9
54063,63.3
54065,68.9
54067,67.5
54069,73.5
54071,44.2
54073,98.3
54075,78.2
54077,68.1
54079,76.1
54081,81
54083,63.3
54085,105.7
54087,76.5
54089,54.1
54091,72.2
54093,75.3
54095,81
54097,74
54099,89.5
54101,94.6
54103,87
54105,78.8
54107,81.9
54109,90.3
55001,85.7
55003,71.4
55005,58.9
55007,54.9
55009,57.9
55011,52.4
55013,75.7
55015,53.3
55017,65.8
55019,52.3
55021,64.3
55023,62.4
55025,54.3
55027,58.6
55029,53.8
55031,58.1
55033,45.4
55035,57.1
55037,66.5
55039,60.7
55041,94.7
55043,51.5
55045,58.6
55047,53.7
55049,56
55051,79.3
55053,69
55055,56.2
55057,67.5
55059,73.1
55061,50.7
55063,60.4
55065,47.5
55067,64.2
55069,64.1
55071,52.2
55073,48.8
55075,72.3
55077,76.3
55078,80.9
55079,71.1
55081,77.3
55083,76.5
55085,78.2
55087,54.8
55089,49.4
55091,53.4
55093,37.6
55095,52.3
55097,54.3
55099,58
55101,69.5
55103,57.7
55105,74.9
55107,76
55109,45.4
55111,57.3
55113,67.3
55115,55
55117,60.6
55119,47.4
55121,57.9
55123,55
55125,66.9
55127,64
55129,71.5
55131,57.3
55133,54.6
55135,64.7
55137,72
55139,62.2
55141,57.4
56001,40.8
56003,41.8
56005,53.1
56007,58.4
56009,58.3
56011,46.2
56013,45.7
56015,52.5
56017,75.8
56019,38.2
56021,52.1
56023,32.1
56025,58.2
56027,* 
56029,36.3
56031,52
56033,52
56035,* 
56037,39.9
56039,23.7
56041,31.7
56043,50
56045,44.9
